2026-05-30 21:31:45,549 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 21:31:45,550 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_xinfo("motorista")
2026-05-30 21:31:45,550 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 21:31:45,551 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk', 'hidden')
2026-05-30 21:31:45,551 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_motorista', 'INTEGER', 1, None, 1, 0)
2026-05-30 21:31:45,551 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'nome', 'VARCHAR(120)', 1, None, 0, 0)
2026-05-30 21:31:45,551 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'cnh', 'VARCHAR(11)', 1, None, 0, 0)
2026-05-30 21:31:45,551 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-05-30 21:31:45,552 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 21:31:45,553 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_xinfo("pedido")
2026-05-30 21:31:45,553 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 21:31:45,553 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk', 'hidden')
2026-05-30 21:31:45,554 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_pedido', 'INTEGER', 1, None, 1, 0)
2026-05-30 21:31:45,554 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'id_cliente', 'INTEGER', 1, None, 0, 0)
2026-05-30 21:31:45,554 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'data_pedido', 'DATETIME', 1, None, 0, 0)
2026-05-30 21:31:45,554 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-05-30 21:31:45,555 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 21:31:45,556 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_xinfo("produto")
2026-05-30 21:31:45,556 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 21:31:45,558 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk', 'hidden')
2026-05-30 21:31:45,558 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_produto', 'INTEGER', 1, None, 1, 0)
2026-05-30 21:31:45,558 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'nome', 'VARCHAR(120)', 1, None, 0, 0)
